bobcat_id,age
5/18/01,3
5/18/02,1
58-18-03,2
64-19-04,0
34-15-05,1
71-19-06,NA
16-19-07,NA
40-19-08,1
61-19-09,0
27-19-10,3
58-19-11,0
56-19-12,NA
40-19-13,1
37-19-14,0
40-19-15,0
61-19-16,1
5/19/17,0
64-19-18,3
84-19-19,0
5/18/20,0
58-19-21,NA
30-18-22,NA
56-19-23,NA
84-19-24,NA
37-19-25,NA
71-19-26,NA
61-19-27,0
82-18-28,6
5/19/29,0
30-19-30,NA
30-19-31,0
5/19/32,1
5/19/33,1
56-19-34,7
37-19-35,2
82-19-36,1
79-19-37,NA
56-19-38,0
84-19-39,1
60-19-40,1
64-19-41,0
16-19-42,1
30-19-43,1
61-19-44,1
40-19-45,0
40-19-46,0
37-19-47,0
84-19-48,0
30-19-49,NA
61-19-50,NA
61-19-51,NA
5/19/52,1
5/19/53,1
61-19-54,1
61-19-55,2
64-19-56,1
5/19/57,NA
5/19/58,1
53-19-59,2
37-19-60,1
56-19-61,0
30-19-62,1
30-19-63,2
56-19-64,2
44-19-65,NA
44-19-66,1
73-19-67,1
5/20/68,2
60-20-69,0
40-20-70,1
40-19-71,1
7/20/72,NA
37-20-73,1
84-20-74,1
61-20-75,2
30-20-76,1
84-20-77,2
40-20-78,5
30-20-79,4
53-20-80,1
71-20-81,1
84-20-82,7
40-20-83,1
60-20-84,2
71-20-85,0
16-20-86,1
30-20-87,3
64-20-88,2
84-20-89,0
53-20-90,1
30-20-91,2
66-20-92,2
44-20-93,1
16-20-94,1
84-20-95,0
44-20-96,2
60-20-97,0
60-20-98,0
73-20-99,1
27-20-100,0
27-20-101,1
16-20-102,1
30-20-103,0
30-20-104,1
60-20-105,0
16-20-106,0
30-20-107,1
61-20-108,6
60-20-109,5
44-20-110,0
61-20-111,2
37-20-112,NA
07-20-113,NA
30-20-114,NA
56-20-115,NA
23-19-116,NA
40-20-117,NA
42-20-118,NA
30-19-119,NA
30-19-120,NA
70-18-121,NA
